iter	RMSE
0	14.79497183
1	14.42837827
2	14.08178311
3	13.73727555
4	13.43483296
5	13.10681682
6	12.80557563
7	12.51055598
8	12.19948983
9	11.92433177
10	11.6844235
11	11.42417379
12	11.19279594
13	10.98220038
14	10.74869373
15	10.54146388
16	10.3248817
17	10.11000497
18	9.935633012
19	9.7341628
20	9.54886722
21	9.383041072
22	9.216363826
23	9.070384663
24	8.9261507
25	8.78030528
26	8.643439756
27	8.509560984
28	8.36735785
29	8.239553302
30	8.118593921
31	8.001528164
32	7.885008192
33	7.783387513
34	7.685288301
35	7.606830964
36	7.509949172
37	7.424398525
38	7.342620607
39	7.265296412
40	7.177775342
41	7.103717127
42	7.039780161
43	6.974261572
44	6.896041355
45	6.834425041
46	6.764419246
47	6.703045276
48	6.640176934
49	6.578825934
50	6.519694986
51	6.466739605
52	6.422233345
53	6.370856233
54	6.329302962
55	6.294487315
56	6.252728628
57	6.209494778
58	6.172990633
59	6.125750496
60	6.086814383
61	6.047190425
62	6.017262651
63	5.99472088
64	5.954615888
65	5.923803583
66	5.902207115
67	5.881190635
68	5.861280822
69	5.839005279
70	5.815852178
71	5.79099742
72	5.768176509
73	5.740038197
74	5.71928983
75	5.700104266
76	5.677883843
77	5.661394207
78	5.646313761
79	5.626066367
80	5.604929367
81	5.588004048
82	5.573492693
83	5.562696849
84	5.546666212
85	5.532970217
86	5.519035848
87	5.504500763
88	5.495320221
89	5.48013935
90	5.468310413
91	5.460636307
92	5.45284585
93	5.438018107
94	5.422795932
95	5.405888832
96	5.3953574
97	5.384615705
98	5.373377714
99	5.360452801
100	5.350360862
101	5.343936091
102	5.337387082
103	5.327075118
104	5.317319522
105	5.31145867
106	5.301014478
107	5.292417656
108	5.280922057
109	5.270355084
110	5.262445168
111	5.254305158
112	5.248299945
113	5.241220164
114	5.23392568
115	5.226319676
116	5.222098693
117	5.215828491
118	5.206990827
119	5.203155316
120	5.198996983
121	5.19389687
122	5.185731958
123	5.178881736
124	5.169950203
125	5.165605194
126	5.158134439
127	5.154995454
128	5.150185463
129	5.144837919
130	5.137873317
131	5.129942569
132	5.12338307
133	5.116820368
134	5.11286132
135	5.10704442
136	5.101853474
137	5.094140615
138	5.091040494
139	5.088098675
140	5.082642201
141	5.079475993
142	5.073947368
143	5.070565621
144	5.065717391
145	5.060631696
146	5.057574727
147	5.051779757
148	5.048052325
149	5.046845692
150	5.041974972
151	5.034994305
152	5.032165829
153	5.025616874
154	5.021935575
155	5.016747812
156	5.014548425
157	5.00876301
158	5.000819293
159	4.997432006
160	4.993021532
161	4.990777952
162	4.987503832
163	4.98334029
164	4.980288083
165	4.977102967
166	4.974202578
167	4.969025547
168	4.961759395
169	4.95927088
170	4.95443509
171	4.950254745
172	4.947533158
173	4.944031283
174	4.937662098
175	4.934669101
176	4.930539257
177	4.926531978
178	4.924390382
179	4.922025862
180	4.918518433
181	4.914462837
182	4.910599853
183	4.905782115
184	4.90378412
185	4.89868594
186	4.895098014
187	4.890195333
188	4.88792327
189	4.886216783
190	4.884219088
191	4.879650198
192	4.87793974
193	4.873930653
194	4.869874438
195	4.865652688
196	4.863137407
197	4.85724809
198	4.85111042
199	4.845705026
200	4.841612661
201	4.83942147
202	4.838239813
203	4.832498649
204	4.827472361
205	4.82510023
206	4.820521226
207	4.817719714
208	4.812549668
209	4.809328414
210	4.80718947
211	4.801579706
212	4.799374125
213	4.798034667
214	4.795943561
215	4.793796417
216	4.78873629
217	4.785637355
218	4.780705206
219	4.773960311
220	4.771502883
221	4.768105441
222	4.764949132
223	4.763021896
224	4.756986944
225	4.751670811
226	4.749524321
227	4.742867395
228	4.737294109
229	4.733867196
230	4.731749667
231	4.727288517
232	4.721448905
233	4.719222533
234	4.715339729
235	4.708569694
236	4.705258422
237	4.703401378
238	4.702007364
239	4.700244258
240	4.698314539
241	4.695655965
242	4.689817373
243	4.687626486
244	4.684151325
245	4.683104725
246	4.68041945
247	4.678784765
248	4.67306265
249	4.672289153
250	4.668887864
251	4.666960434
252	4.66265499
253	4.657411314
254	4.656618083
255	4.650334256
256	4.645268661
257	4.643252674
258	4.638578015
259	4.635670919
260	4.632841146
261	4.629971419
262	4.623586759
263	4.621995415
264	4.619194616
265	4.617776383
266	4.614689415
267	4.607157523
268	4.599344661
269	4.594446262
270	4.59003899
271	4.58605547
272	4.585421487
273	4.582729276
274	4.58201751
275	4.581034008
276	4.575985701
277	4.57541275
278	4.570107783
279	4.566773511
280	4.565148465
281	4.558931212
282	4.554507311
283	4.549660733
284	4.546143455
285	4.544392187
286	4.538708648
287	4.537211528
288	4.535105986
289	4.530571908
290	4.525388359
291	4.521609813
292	4.518326813
293	4.515500404
294	4.513502525
295	4.511168031
296	4.508161598
297	4.507516286
298	4.502687564
299	4.499155367
300	4.498581604
301	4.495336052
302	4.492236622
303	4.487323856
304	4.485978826
305	4.482099711
306	4.477498272
307	4.472839506
308	4.467715464
309	4.462958263
310	4.458657991
311	4.456610452
312	4.45212356
313	4.449809459
314	4.444312351
315	4.441822178
316	4.438960055
317	4.435771233
318	4.43212531
319	4.426180662
320	4.420539766
321	4.419400123
322	4.41550485
323	4.409967437
324	4.405508033
325	4.401457523
326	4.39807805
327	4.393528055
328	4.391370378
329	4.388513702
330	4.386029639
331	4.384225263
332	4.378693708
333	4.374020388
334	4.369505129
335	4.365755416
336	4.361743627
337	4.355783674
338	4.354618553
339	4.347770273
340	4.345516825
341	4.340524645
342	4.335629887
343	4.332828533
344	4.330627276
345	4.330154116
346	4.326743953
347	4.323513154
348	4.322499319
349	4.318591107
350	4.314295263
351	4.313041336
352	4.307613071
353	4.305005269
354	4.304542263
355	4.300979046
356	4.300228176
357	4.296500585
358	4.293593919
359	4.292022236
360	4.287070601
361	4.282818117
362	4.279571055
363	4.275704888
364	4.274572005
365	4.273360628
366	4.272179018
367	4.271050624
368	4.267178257
369	4.262493508
370	4.261745447
371	4.257957143
372	4.256767196
373	4.251826223
374	4.250830694
375	4.247659638
376	4.243947774
377	4.242911356
378	4.238765868
379	4.234390047
380	4.232088389
381	4.230839784
382	4.228393129
383	4.226728529
384	4.223879697
385	4.221879602
386	4.220294139
387	4.219902325
388	4.218731512
389	4.217978374
390	4.217614862
391	4.214035132
392	4.210813409
393	4.205251662
394	4.204293514
395	4.200625864
396	4.19721752
397	4.196857597
398	4.193704339
399	4.191689454
400	4.188306023
401	4.185065049
402	4.183734538
403	4.18052061
404	4.17670876
405	4.176320835
406	4.175657511
407	4.171561903
408	4.168261693
409	4.16667059
410	4.161826069
411	4.157459269
412	4.154846117
413	4.150792777
414	4.146461028
415	4.141381953
416	4.138447322
417	4.133867303
418	4.130456416
419	4.129083101
420	4.12873795
421	4.126658018
422	4.121338122
423	4.118502885
424	4.115568625
425	4.115265195
426	4.111981747
427	4.111323194
428	4.107463027
429	4.103998565
430	4.100016626
431	4.09909306
432	4.095905717
433	4.092908287
434	4.088006587
435	4.085029576
436	4.081416337
437	4.077909079
438	4.074119964
439	4.07325293
440	4.070906942
441	4.069118049
442	4.06648218
443	4.066186305
444	4.061742397
445	4.061247011
446	4.059887428
447	4.059591749
448	4.056846815
449	4.055757626
450	4.052213555
451	4.048594877
452	4.046080738
453	4.04202191
454	4.041065889
455	4.038184722
456	4.035879442
457	4.033040271
458	4.029518692
459	4.028169887
460	4.024526593
461	4.022375786
462	4.020580419
463	4.01582961
464	4.013353774
465	4.008794798
466	4.008075372
467	4.004908121
468	4.001385591
469	3.99812293
470	3.997861459
471	3.997147455
472	3.994526837
473	3.990901244
474	3.988818356
475	3.985698284
476	3.982171165
477	3.979004679
478	3.977384091
479	3.974136489
480	3.973845739
481	3.973053522
482	3.972377918
483	3.971143546
484	3.967507277
485	3.964337063
486	3.964003775
487	3.961887112
488	3.957492518
489	3.955341887
490	3.954193977
491	3.953776008
492	3.950631222
493	3.948841418
494	3.946480136
495	3.943438694
496	3.941948943
497	3.940150382
498	3.939977838
499	3.936852149
500	3.935051012
501	3.931261327
502	3.927460748
503	3.925537101
504	3.923352046
505	3.921869921
506	3.919349873
507	3.916405069
508	3.914801962
509	3.914119136
510	3.910521175
511	3.907275115
512	3.906251471
513	3.903051446
514	3.899357829
515	3.89496364
516	3.891994546
517	3.886925123
518	3.883524874
519	3.882157587
520	3.881943362
521	3.878960513
522	3.876578384
523	3.876190272
524	3.87112635
525	3.866786831
526	3.866575199
527	3.864140735
528	3.861741314
529	3.861497748
530	3.857403985
531	3.857177677
532	3.854063627
533	3.853843895
534	3.849744434
535	3.848809718
536	3.848075003
537	3.846230989
538	3.843296245
539	3.841194311
540	3.838106229
541	3.836026182
542	3.834653138
543	3.831854322
544	3.828585759
545	3.825837314
546	3.823076523
547	3.820559583
548	3.818846274
549	3.81760119
550	3.817454591
551	3.81278493
552	3.81113745
553	3.809295684
554	3.80708502
555	3.804374746
556	3.803700039
557	3.802094691
558	3.799478987
559	3.797180619
560	3.796987075
561	3.794543214
562	3.791662752
563	3.791499914
564	3.789962851
565	3.787269167
566	3.784721426
567	3.783159423
568	3.77951833
569	3.777269855
570	3.773783154
571	3.773031837
572	3.77134244
573	3.770962405
574	3.768904302
575	3.76867979
576	3.768182148
577	3.764822135
578	3.762336618
579	3.761451526
580	3.75899204
581	3.758522428
582	3.75608549
583	3.755671621
584	3.753159358
585	3.749651193
586	3.747476495
587	3.743818473
588	3.740616685
589	3.737472525
590	3.735688223
591	3.735405715
592	3.735234901
593	3.732679133
594	3.728890616
595	3.725840443
596	3.725600554
597	3.723022478
598	3.722644815
599	3.722227299
600	3.720409824
601	3.71979933
602	3.719640588
603	3.71592464
604	3.712221262
605	3.710568989
606	3.707585432
607	3.705943983
608	3.704045026
609	3.702676337
610	3.699139473
611	3.696398165
612	3.694093852
613	3.691954257
614	3.689320913
615	3.686085924
616	3.684240333
617	3.680623279
618	3.676899357
619	3.676220775
620	3.673470438
621	3.67197201
622	3.670183864
623	3.668467524
624	3.665957642
625	3.663316817
626	3.661590603
627	3.658554192
628	3.657417041
629	3.65693368
630	3.656788637
631	3.653936908
632	3.650051163
633	3.647742038
634	3.647465879
635	3.647006652
636	3.646742478
637	3.644427449
638	3.642544545
639	3.640452477
640	3.638472709
641	3.636627632
642	3.636101503
643	3.633421156
644	3.630879125
645	3.630744925
646	3.629205897
647	3.628673503
648	3.625560377
649	3.624080732
650	3.621694488
651	3.619688267
652	3.617499191
653	3.615032031
654	3.611348784
655	3.609515383
656	3.607720896
657	3.606742264
658	3.604085754
659	3.601791874
660	3.599387975
661	3.597160286
662	3.593148955
663	3.592868325
664	3.590021789
665	3.587998546
666	3.586022102
667	3.584114611
668	3.581837649
669	3.580318559
670	3.579807092
671	3.578381883
672	3.576066182
673	3.572482909
674	3.572067623
675	3.571061194
676	3.568112554
677	3.566854581
678	3.566726813
679	3.56404033
680	3.562278481
681	3.559673398
682	3.556551086
683	3.553740542
684	3.553267686
685	3.551780131
686	3.550461005
687	3.550100993
688	3.549982314
689	3.548126842
690	3.546432728
691	3.545168841
692	3.544988905
693	3.5445127
694	3.541662236
695	3.540410493
696	3.538533515
697	3.534523809
698	3.534370636
699	3.531446335
700	3.530460786
701	3.527629624
702	3.525955652
703	3.522544834
704	3.521598634
705	3.520092611
706	3.517696102
707	3.516143389
708	3.514914953
709	3.513714654
710	3.511083542
711	3.509105311
712	3.506611746
713	3.504150872
714	3.502695896
715	3.502352674
716	3.501062773
717	3.498787045
718	3.49554405
719	3.493641319
720	3.493155636
721	3.49280286
722	3.491567548
723	3.489194528
724	3.486156887
725	3.485387215
726	3.482748729
727	3.481150169
728	3.480999436
729	3.479954909
730	3.478014423
731	3.475782927
732	3.474608345
733	3.474008552
734	3.471301095
735	3.469352209
736	3.4679531
737	3.467673164
738	3.467342796
739	3.464723974
740	3.463816485
741	3.461131684
742	3.460965135
743	3.45880335
744	3.455661276
745	3.453048456
746	3.450808019
747	3.450582408
748	3.448622671
749	3.4474122
750	3.444783534
751	3.44329528
752	3.440258918
753	3.438133742
754	3.43484391
755	3.433023434
756	3.432922155
757	3.432304702
758	3.42981632
759	3.429719125
760	3.42718925
761	3.425160425
762	3.423727433
763	3.422489994
764	3.41999763
765	3.419675355
766	3.417568735
767	3.415549397
768	3.412633378
769	3.411906165
770	3.411791441
771	3.410436131
772	3.408370993
773	3.407566879
774	3.406499887
775	3.405918677
776	3.403390527
777	3.401870098
778	3.399545716
779	3.398875948
780	3.398807939
781	3.397448282
782	3.394617246
783	3.39349466
784	3.392467737
785	3.390434124
786	3.390121954
787	3.389281835
788	3.387086934
789	3.385980194
790	3.385408398
791	3.383447554
792	3.382154645
793	3.379617972
794	3.378329182
795	3.376907278
796	3.374967741
797	3.372331199
798	3.369639799
799	3.368195375
800	3.367605384
801	3.365816899
802	3.362569691
803	3.362344669
804	3.359135148
805	3.358287099
806	3.356168865
807	3.354967102
808	3.352613794
809	3.352027507
810	3.350577326
811	3.349979642
812	3.348897522
813	3.345872135
814	3.343904918
815	3.342684431
816	3.340858762
817	3.339127631
818	3.335809506
819	3.333543611
820	3.332148458
821	3.330685858
822	3.32731476
823	3.325600577
824	3.325116065
825	3.323105152
826	3.320910711
827	3.320834152
828	3.318909669
829	3.317635617
830	3.317222045
831	3.316892652
832	3.315882443
833	3.313653499
834	3.31357377
835	3.312430594
836	3.311094118
837	3.310070506
838	3.307607963
839	3.304871652
840	3.304114361
841	3.303785986
842	3.301675553
843	3.300589642
844	3.299558752
845	3.298196562
846	3.298150888
847	3.296637037
848	3.295477087
849	3.293062186
850	3.291483156
851	3.290617297
852	3.290150356
853	3.289677264
854	3.288401172
855	3.287642095
856	3.285756525
857	3.284383138
858	3.283556621
859	3.283539411
860	3.282350885
861	3.281916549
862	3.28064417
863	3.278539591
864	3.277084683
865	3.275334666
866	3.274869779
867	3.273353476
868	3.272244393
869	3.269565085
870	3.268750503
871	3.266868173
872	3.265820964
873	3.26244814
874	3.261779085
875	3.259915326
876	3.256976293
877	3.253941104
878	3.252626318
879	3.250727198
880	3.24947239
881	3.247818068
882	3.245635599
883	3.243212816
884	3.243125894
885	3.2412688
886	3.239535593
887	3.23764045
888	3.234968914
889	3.233611432
890	3.232833181
891	3.231886462
892	3.229908946
893	3.228163578
894	3.226578251
895	3.224809125
896	3.22322495
897	3.221008134
898	3.220941991
899	3.219566893
900	3.219047366
901	3.218372484
902	3.217072022
903	3.215113292
904	3.212863219
905	3.209803635
906	3.208263401
907	3.206986139
908	3.206350237
909	3.206163814
910	3.20475316
911	3.203685047
912	3.203485671
913	3.201696239
914	3.201421589
915	3.198686841
916	3.198340679
917	3.196419376
918	3.195402575
919	3.192487872
920	3.191537997
921	3.189218574
922	3.186230612
923	3.184048601
924	3.182508166
925	3.180937507
926	3.178673155
927	3.177602922
928	3.176290835
929	3.17479565
930	3.172359091
931	3.169539194
932	3.166548409
933	3.165529411
934	3.164546994
935	3.164278153
936	3.161991027
937	3.161280643
938	3.158541005
939	3.154745159
940	3.154439882
941	3.153575974
942	3.153510078
943	3.151945255
944	3.150539053
945	3.148025702
946	3.147020536
947	3.145451387
948	3.144016208
949	3.142380268
950	3.141749665
951	3.14136013
952	3.14057966
953	3.140149746
954	3.137849971
955	3.137132606
956	3.13624153
957	3.133485004
958	3.133445446
959	3.131785809
960	3.130318037
961	3.128162832
962	3.126808375
963	3.126293065
964	3.124465394
965	3.124227821
966	3.121598122
967	3.121037114
968	3.120875258
969	3.1205934
970	3.119863803
971	3.117289707
972	3.117089877
973	3.115443807
974	3.114682499
975	3.113147418
976	3.111857265
977	3.111540614
978	3.110693922
979	3.108503683
980	3.107694358
981	3.107415645
982	3.105933572
983	3.105782102
984	3.104683723
985	3.102226194
986	3.099619182
987	3.097725091
988	3.096197739
989	3.094663543
990	3.093963357
991	3.092901169
992	3.091455118
993	3.089277655
994	3.087997282
995	3.087001384
996	3.085982092
997	3.085218877
998	3.083486618
999	3.082998934
