iter	Passed	Remaining
0	2	236
1	4	225
2	6	219
3	8	205
4	10	198
5	12	190
6	13	183
7	15	176
8	16	169
9	18	162
10	19	159
11	21	154
12	22	150
13	23	146
14	25	142
15	26	138
16	27	135
17	28	130
18	29	126
19	30	122
20	31	119
21	32	116
22	33	113
23	34	110
24	35	107
25	36	103
26	37	101
27	38	98
28	39	96
29	40	94
30	41	91
31	42	89
32	43	87
33	43	85
34	44	83
35	45	81
36	46	79
37	47	76
38	47	75
39	48	73
40	49	71
41	50	69
42	50	67
43	51	65
44	52	63
45	53	62
46	53	60
47	54	59
48	55	57
49	56	56
50	56	54
51	57	52
52	58	51
53	58	50
54	59	48
55	60	47
56	60	45
57	61	44
58	62	43
59	62	41
60	63	40
61	64	39
62	65	38
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	73	27
73	74	26
74	75	25
75	76	24
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	87	9
90	88	8
91	89	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	94	0
99	95	0
